swc_id,x,y,z,source_region,source_region_withCorticalRegion
SEU-ALLEN_local_15257_10001_19868_8155_CCFv3.swc,11287.6,3667.825,5563.125,fiber tracts,arb
SEU-ALLEN_local_15257_10008_10862_6996_CCFv3.swc,9625.025,3764.025,9017.726,ENTm,ENTm5
SEU-ALLEN_local_15257_10012_10978_7039_CCFv3.swc,9682.675,3754.125,8985.0,ENTm,ENTm5
SEU-ALLEN_local_15257_10020_17924_8129_CCFv3.swc,11267.75,3630.95,6364.775,fiber tracts,arb
SEU-ALLEN_local_15257_10028_28224_6732_CCFv3.swc,9298.925,3983.15,2374.2,SUB,SUB
SEU-ALLEN_local_15257_10033_6960_5060_CCFv3.swc,6956.0,4120.8,10494.575,VISC,VISC2/3
SEU-ALLEN_local_15257_10047_11078_6926_CCFv3.swc,9526.625,3773.35,8916.426,ENTm,ENTm6
SEU-ALLEN_local_15257_10051_10842_7076_CCFv3.swc,9730.875,3721.5,9043.825,ENTm,ENTm5
SEU-ALLEN_local_15257_10067_11132_3158_CCFv3.swc,4747.525,4974.225,8915.676,CLA,CLA
SEU-ALLEN_local_15257_10068_28106_6762_CCFv3.swc,9334.225,3961.3,2414.025,SUB,SUB
SEU-ALLEN_local_15257_10075_21028_8843_CCFv3.swc,12255.55,3640.5,5098.4,UVU,UVU
SEU-ALLEN_local_15257_10076_31361_5122_CCFv3.swc,7178.825,4326.425,1218.0,TEa,TEa5
SEU-ALLEN_local_15257_10088_17206_3188_CCFv3.swc,5081.425,4908.9,6410.35,BST,BST
SEU-ALLEN_local_15257_10100_26775_9269_CCFv3.swc,12718.95,3595.425,2665.425,AN,ANcr2
SEU-ALLEN_local_15257_10103_21018_8824_CCFv3.swc,12226.25,3627.275,5102.675,UVU,UVU
SEU-ALLEN_local_15257_10116_17738_3186_CCFv3.swc,5088.525,4894.925,6211.025,LSv,LSv
SEU-ALLEN_local_15257_10118_28324_6874_CCFv3.swc,9474.35,3918.0,2307.025,SUB,SUB
SEU-ALLEN_local_15257_10122_17681_3243_CCFv3.swc,5165.2,4867.0,6230.8,LSv,LSv
SEU-ALLEN_local_15257_10128_9947_7132_CCFv3.swc,9803.0,3635.55,9394.4,ENTm,ENTm6
SEU-ALLEN_local_15257_10131_17416_3416_CCFv3.swc,5387.675,4788.375,6327.925,unknow,unknow
SEU-ALLEN_local_15257_10135_27830_2700_CCFv3.swc,4155.425,5221.375,2382.4,AIv,AIv2/3
SEU-ALLEN_local_15257_10139_10992_6908_CCFv3.swc,9496.2,3733.5,8941.15,ENTm,ENTm6
SEU-ALLEN_local_15257_10151_9621_3470_CCFv3.swc,5029.675,4815.075,9500.875,GU,GU5
SEU-ALLEN_local_15257_10162_17957_8184_CCFv3.swc,11339.2,3563.525,6352.65,fiber tracts,arb
SEU-ALLEN_local_15257_10163_6858_6677_CCFv3.swc,9155.149,3547.35,10602.175,ECT,ECT1
SEU-ALLEN_local_15257_10164_30776_7197_CCFv3.swc,9871.1,3838.725,1262.725,ENTl,ENTl2
SEU-ALLEN_local_15257_10170_8137_6243_CCFv3.swc,8553.3,3708.025,9982.075,fiber tracts,or
SEU-ALLEN_local_15257_10171_7040_5159_CCFv3.swc,7076.075,4015.45,10453.775,TEa,TEa4
SEU-ALLEN_local_15257_10171_7907_4487_CCFv3.swc,6242.35,4360.05,10105.725,VISC,VISC5
SEU-ALLEN_local_15257_10189_20898_8829_CCFv3.swc,12236.05,3583.55,5152.025,UVU,UVU
SEU-ALLEN_local_15257_10197_24693_2409_CCFv3.swc,3909.05,5252.925,3611.225,EPd,EPd
SEU-ALLEN_local_15257_10215_17777_3283_CCFv3.swc,5216.95,4805.825,6193.175,LSv,LSv
SEU-ALLEN_local_15257_10216_8801_6752_CCFv3.swc,9269.175,3615.775,9767.075,fiber tracts,ec
SEU-ALLEN_local_15257_10221_28591_6757_CCFv3.swc,9321.35,3881.15,2228.45,SUB,SUB
SEU-ALLEN_local_15257_10227_27565_8709_CCFv3.swc,11869.899,3596.075,2342.85,fiber tracts,arb
SEU-ALLEN_local_15257_10230_9223_7323_CCFv3.swc,10054.05,3510.85,9713.8,ENTm,ENTm3
SEU-ALLEN_local_15257_10241_31338_5531_CCFv3.swc,7699.726,4123.275,1251.825,TEa,TEa5
SEU-ALLEN_local_15257_10263_23762_7075_CCFv3.swc,9717.1,3781.925,4079.6,unknow,unknow
SEU-ALLEN_local_15257_10263_7051_6504_CCFv3.swc,8908.775,3538.65,10498.0,TEa,TEa4
SEU-ALLEN_local_15257_10277_31178_5114_CCFv3.swc,7160.3,4233.4,1293.275,TEa,TEa5
SEU-ALLEN_local_15257_10282_7181_5838_CCFv3.swc,7974.95,3707.2,10386.55,AUDv,AUDv5
SEU-ALLEN_local_15257_10298_17455_3421_CCFv3.swc,5386.45,4709.025,6307.475,LSv,LSv
SEU-ALLEN_local_15257_10304_32009_4411_CCFv3.swc,6222.025,4511.25,865.35,VISC,VISC1
SEU-ALLEN_local_15257_10306_27423_8770_CCFv3.swc,11953.875,3548.125,2402.2,fiber tracts,arb
SEU-ALLEN_local_15257_10313_10058_7234_CCFv3.swc,9929.475,3527.475,9369.024,ENTm,ENTm5
SEU-ALLEN_local_15257_10313_17452_3380_CCFv3.swc,5332.775,4719.9,6307.7,LSv,LSv
SEU-ALLEN_local_15257_10314_26278_7893_CCFv3.swc,10728.7,3676.9,2983.45,SIM,SIM
